variables = x,u,v,Ttr,p,rho,Mach,h
  zone T="Exact   2.0000000000000001E-004 sec" , i=         1001  f=point 
 -2.3350000000D-01  0.0000000000D+00  0.0000000000D+00  3.0000000000D+02  8.6608956250D+02  1.0000000000D-02  0.0000000000D+00  0.0000000000D+00
 -2.3300000000D-01  0.0000000000D+00  0.0000000000D+00  3.0000000000D+02  8.6608956250D+02  1.0000000000D-02  0.0000000000D+00  0.0000000000D+00
 -2.3250000000D-01  0.0000000000D+00  0.0000000000D+00  3.0000000000D+02  8.6608956250D+02  1.0000000000D-02  0.0000000000D+00  0.0000000000D+00
 -2.3200000000D-01  0.0000000000D+00  0.0000000000D+00  3.0000000000D+02  8.6608956250D+02  1.0000000000D-02  0.0000000000D+00  0.0000000000D+00
 -2.3150000000D-01  0.0000000000D+00  0.0000000000D+00  3.0000000000D+02  8.6608956250D+02  1.0000000000D-02  0.0000000000D+00  0.0000000000D+00
 -2.3100000000D-01  0.0000000000D+00  0.0000000000D+00  3.0000000000D+02  8.6608956250D+02  1.0000000000D-02  0.0000000000D+00  0.0000000000D+00
 -2.3050000000D-01  0.0000000000D+00  0.0000000000D+00  3.0000000000D+02  8.6608956250D+02  1.0000000000D-02  0.0000000000D+00  0.0000000000D+00
 -2.3000000000D-01  0.0000000000D+00  0.0000000000D+00  3.0000000000D+02  8.6608956250D+02  1.0000000000D-02  0.0000000000D+00  0.0000000000D+00
 -2.2950000000D-01  0.0000000000D+00  0.0000000000D+00  3.0000000000D+02  8.6608956250D+02  1.0000000000D-02  0.0000000000D+00  0.0000000000D+00
 -2.2900000000D-01  0.0000000000D+00  0.0000000000D+00  3.0000000000D+02  8.6608956250D+02  1.0000000000D-02  0.0000000000D+00  0.0000000000D+00
 -2.2850000000D-01  0.0000000000D+00  0.0000000000D+00  3.0000000000D+02  8.6608956250D+02  1.0000000000D-02  0.0000000000D+00  0.0000000000D+00
 -2.2800000000D-01  0.0000000000D+00  0.0000000000D+00  3.0000000000D+02  8.6608956250D+02  1.0000000000D-02  0.0000000000D+00  0.0000000000D+00
 -2.2750000000D-01  0.0000000000D+00  0.0000000000D+00  3.0000000000D+02  8.6608956250D+02  1.0000000000D-02  0.0000000000D+00  0.0000000000D+00
 -2.2700000000D-01  0.0000000000D+00  0.0000000000D+00  3.0000000000D+02  8.6608956250D+02  1.0000000000D-02  0.0000000000D+00  0.0000000000D+00
 -2.2650000000D-01  0.0000000000D+00  0.0000000000D+00  3.0000000000D+02  8.6608956250D+02  1.0000000000D-02  0.0000000000D+00  0.0000000000D+00
 -2.2600000000D-01  0.0000000000D+00  0.0000000000D+00  3.0000000000D+02  8.6608956250D+02  1.0000000000D-02  0.0000000000D+00  0.0000000000D+00
 -2.2550000000D-01  0.0000000000D+00  0.0000000000D+00  3.0000000000D+02  8.6608956250D+02  1.0000000000D-02  0.0000000000D+00  0.0000000000D+00
 -2.2500000000D-01  0.0000000000D+00  0.0000000000D+00  3.0000000000D+02  8.6608956250D+02  1.0000000000D-02  0.0000000000D+00  0.0000000000D+00
 -2.2450000000D-01  0.0000000000D+00  0.0000000000D+00  3.0000000000D+02  8.6608956250D+02  1.0000000000D-02  0.0000000000D+00  0.0000000000D+00
 -2.2400000000D-01  0.0000000000D+00  0.0000000000D+00  3.0000000000D+02  8.6608956250D+02  1.0000000000D-02  0.0000000000D+00  0.0000000000D+00
 -2.2350000000D-01  0.0000000000D+00  0.0000000000D+00  3.0000000000D+02  8.6608956250D+02  1.0000000000D-02  0.0000000000D+00  0.0000000000D+00
 -2.2300000000D-01  0.0000000000D+00  0.0000000000D+00  3.0000000000D+02  8.6608956250D+02  1.0000000000D-02  0.0000000000D+00  0.0000000000D+00
 -2.2250000000D-01  0.0000000000D+00  0.0000000000D+00  3.0000000000D+02  8.6608956250D+02  1.0000000000D-02  0.0000000000D+00  0.0000000000D+00
 -2.2200000000D-01  0.0000000000D+00  0.0000000000D+00  3.0000000000D+02  8.6608956250D+02  1.0000000000D-02  0.0000000000D+00  0.0000000000D+00
 -2.2150000000D-01  0.0000000000D+00  0.0000000000D+00  3.0000000000D+02  8.6608956250D+02  1.0000000000D-02  0.0000000000D+00  0.0000000000D+00
 -2.2100000000D-01  0.0000000000D+00  0.0000000000D+00  3.0000000000D+02  8.6608956250D+02  1.0000000000D-02  0.0000000000D+00  0.0000000000D+00
 -2.2050000000D-01  0.0000000000D+00  0.0000000000D+00  3.0000000000D+02  8.6608956250D+02  1.0000000000D-02  0.0000000000D+00  0.0000000000D+00
 -2.2000000000D-01  0.0000000000D+00  0.0000000000D+00  3.0000000000D+02  8.6608956250D+02  1.0000000000D-02  0.0000000000D+00  0.0000000000D+00
 -2.1950000000D-01  0.0000000000D+00  0.0000000000D+00  3.0000000000D+02  8.6608956250D+02  1.0000000000D-02  0.0000000000D+00  0.0000000000D+00
 -2.1900000000D-01  0.0000000000D+00  0.0000000000D+00  3.0000000000D+02  8.6608956250D+02  1.0000000000D-02  0.0000000000D+00  0.0000000000D+00
 -2.1850000000D-01  0.0000000000D+00  0.0000000000D+00  3.0000000000D+02  8.6608956250D+02  1.0000000000D-02  0.0000000000D+00  0.0000000000D+00
 -2.1800000000D-01  0.0000000000D+00  0.0000000000D+00  3.0000000000D+02  8.6608956250D+02  1.0000000000D-02  0.0000000000D+00  0.0000000000D+00
