Variables = AnebyAth, mach, temperature_ratio(TbyT0),pressure_ratio(pbyp0),density_ratio(rhobyrho0) 
 zone t=gamma1.4 i= 100 f=point
1.000000000000000000e+00	1.000000024058934400e+00	8.333333266502959136e-01	5.282817728889610542e-01	6.339381325507119636e-01
2.000000000000000000e+00	2.197198121652186309e+00	5.087670956660630406e-01	9.393264573284490493e-02	1.846279889816203890e-01
3.000000000000000000e+00	2.637415849310821070e+00	4.182013834210216996e-01	4.729869168295058879e-02	1.131002755084932754e-01
4.000000000000000000e+00	2.940179169312596485e+00	3.664438955914410267e-01	2.978696258261570584e-02	8.128655693537888138e-02
5.000000000000000000e+00	3.174780154165107948e+00	3.315819390337687578e-01	2.099268717547584512e-02	6.331070756341140859e-02
6.000000000000000000e+00	3.367872417361381210e+00	3.059495321802902512e-01	1.584069664395714935e-02	5.177552170474485072e-02
7.000000000000000000e+00	3.532790549042263084e+00	2.860312236184078816e-01	1.251546684188799795e-02	4.375559662180374121e-02
8.000000000000000000e+00	3.677228629856446496e+00	2.699490980210286217e-01	1.022083982814362378e-02	3.786210031102765772e-02
9.000000000000000000e+00	3.806053913234972885e+00	2.565938672120862685e-01	8.557796454945353418e-03	3.335152374422088034e-02
1.000000000000000000e+01	3.922551820933724009e+00	2.452613930669104436e-01	7.306378512788277643e-03	2.979016966928424784e-02
1.100000000000000000e+01	4.029050123976643860e+00	2.354797876250635802e-01	6.336329075091040076e-03	2.690816540560114073e-02
1.200000000000000000e+01	4.127261366545888599e+00	2.269190802009564967e-01	5.566068551796409317e-03	2.452886970486207324e-02
1.300000000000000000e+01	4.218484031014458679e+00	2.193405021397153709e-01	4.942149933933235283e-03	2.253186203971206322e-02
1.400000000000000000e+01	4.303727276515786571e+00	2.125663398286560812e-01	4.428235719580514082e-03	2.083225276000891593e-02
1.500000000000000000e+01	4.383791750878135218e+00	2.064611597519284691e-01	3.998842222073754199e-03	1.936849636453910617e-02
