Mach number [-], Prandtl-Meyer function [degree], gamma=1.4
4.18,68.086562,
4.19,68.21012,
4.2,68.333237,
4.21,68.455916,
4.22,68.578158,
4.23,68.699966,
4.24,68.821342,
4.25,68.942288,
4.26,69.062805,
4.27,69.182896,
4.28,69.302562,
4.29,69.421806,
4.3,69.54063,
4.31,69.659035,
4.32,69.777023,
4.33,69.894597,
4.34,70.011759,
4.35,70.128509,
4.36,70.24485,
4.37,70.360785,
4.38,70.476314,
4.39,70.591441,
4.4,70.706165,
4.41,70.82049,
4.42,70.934418,
4.43,71.04795,
4.44,71.161087,
4.45,71.273833,
4.46,71.386187,
4.47,71.498154,
4.48,71.609733,
4.49,71.720928,
4.5,71.831739,
4.51,71.942169,
4.52,72.052218,
4.53,72.16189,
4.54,72.271186,
4.55,72.380107,
4.56,72.488655,
4.57,72.596832,
4.58,72.70464,
4.59,72.812079,
4.6,72.919153,
4.61,73.025863,
4.62,73.132209,
4.63,73.238195,
4.64,73.343821,
4.65,73.449089,
4.66,73.554002,
4.67,73.658559,
4.68,73.762764,
4.69,73.866618,
4.7,73.970121,
4.71,74.073277,
4.72,74.176086,
4.73,74.27855,
4.74,74.380671,
4.75,74.48245,
4.76,74.583888,
4.77,74.684988,
4.78,74.785751,
4.79,74.886178,
4.8,74.986271,
4.81,75.086031,
4.82,75.18546,
4.83,75.284559,
4.84,75.38333,
4.85,75.481774,
4.86,75.579893,
4.87,75.677689,
4.88,75.775161,
4.89,75.872314,
4.9,75.969146,
4.91,76.065661,
4.92,76.161859,
4.93,76.257742,
4.94,76.353311,
4.95,76.448568,
4.96,76.543514,
4.97,76.63815,
4.98,76.732478,
4.99,76.8265,
5,76.920216,
5.01,77.013627,
5.02,77.106736,
5.03,77.199544,
5.04,77.292052,
5.05,77.384261,
5.06,77.476172,
5.07,77.567788,
5.08,77.659108,
5.09,77.750136,
5.1,77.840871,
5.11,77.931315,
5.12,78.021469,
5.13,78.111336,
5.14,78.200915,
5.15,78.290209,
5.16,78.379218,
5.17,78.467943,
5.18,78.556387,
5.19,78.64455,
5.2,78.732433,
5.21,78.820038,
5.22,78.907366,
5.23,78.994418,
5.24,79.081195,
5.25,79.167699,
5.26,79.253931,
5.27,79.339891,
5.28,79.425581,
5.29,79.511003,
5.3,79.596157,
5.31,79.681045,
5.32,79.765667,
5.33,79.850025,
5.34,79.934121,
5.35,80.017954,
5.36,80.101527,
5.37,80.18484,
5.38,80.267895,
5.39,80.350692,
5.4,80.433233,
5.41,80.515519,
5.42,80.597551,
5.43,80.67933,
5.44,80.760857,
5.45,80.842133,
5.46,80.92316,
5.47,81.003938,
5.48,81.084468,
5.49,81.164752,
5.5,81.24479,
5.51,81.324584,
5.52,81.404135,
5.53,81.483443,
5.54,81.56251,
5.55,81.641337,
5.56,81.719924,
5.57,81.798273,
5.58,81.876385,
5.59,81.954261,
5.6,82.031901,
5.61,82.109308,
5.62,82.186481,
5.63,82.263421,
5.64,82.340131,
5.65,82.41661,
5.66,82.49286,
5.67,82.568881,
5.68,82.644675,
5.69,82.720243,
5.7,82.795585,
5.71,82.870702,
5.72,82.945596,
5.73,83.020267,
5.74,83.094716,
5.75,83.168945,
5.76,83.242954,
5.77,83.316743,
5.78,83.390315,
5.79,83.463669,
5.8,83.536807,
5.81,83.60973,
5.82,83.682438,
5.83,83.754933,
5.84,83.827214,
5.85,83.899284,
5.86,83.971143,
5.87,84.042792,
5.88,84.114232,
5.89,84.185464,
5.9,84.256487,
5.91,84.327305,
5.92,84.397916,
5.93,84.468322,
5.94,84.538525,
5.95,84.608524,
5.96,84.67832,
5.97,84.747915,
5.98,84.817309,
5.99,84.886503,
6,84.955498,
6.01,85.024295,
6.02,85.092894,
6.03,85.161296,
6.04,85.229502,
6.05,85.297513,
6.06,85.36533,
6.07,85.432953,
6.08,85.500384,
6.09,85.567622,
6.1,85.634669,
6.11,85.701526,
6.12,85.768193,
6.13,85.834671,
6.14,85.90096,
6.15,85.967063,
6.16,86.032978,
6.17,86.098708,
6.18,86.164252,
6.19,86.229612,
6.2,86.294789,
6.21,86.359782,
6.22,86.424593,
6.23,86.489223,
6.24,86.553672,
6.25,86.61794,
6.26,86.68203,
6.27,86.74594,
6.28,86.809673,
6.29,86.873228,
6.3,86.936607,
6.31,86.99981,
6.32,87.062838,
6.33,87.125692,
6.34,87.188371,
6.35,87.250878,
6.36,87.313212,
6.37,87.375375,
6.38,87.437366,
6.39,87.499187,
6.4,87.560838,
6.41,87.62232,
6.42,87.683634,
6.43,87.74478,
6.44,87.805759,
6.45,87.866572,
6.46,87.927219,
6.47,87.9877,
6.48,88.048017,
6.49,88.108171,
6.5,88.168161,
6.51,88.227988,
6.52,88.287654,
6.53,88.347158,
6.54,88.406501,
6.55,88.465685,
6.56,88.524708,
6.57,88.583573,
6.58,88.64228,
6.59,88.700829,
6.6,88.759221,
6.61,88.817457,
6.62,88.875537,
6.63,88.933461,
6.64,88.991231,
6.65,89.048847,
6.66,89.106309,
6.67,89.163619,
6.68,89.220776,
6.69,89.277781,
6.7,89.334636,
6.71,89.391339,
6.72,89.447893,
6.73,89.504297,
6.74,89.560553,
6.75,89.61666,
6.76,89.672619,
6.77,89.728432,
6.78,89.784097,
6.79,89.839617,
6.8,89.894991,
6.81,89.95022,
6.82,90.005304,
6.83,90.060245,
6.84,90.115042,
6.85,90.169696,
6.86,90.224209,
6.87,90.278579,
6.88,90.332808,
6.89,90.386897,
6.9,90.440845,
6.91,90.494654,
6.92,90.548323,
6.93,90.601854,
6.94,90.655247,
6.95,90.708502,
6.96,90.76162,
6.97,90.814602,
6.98,90.867448,
6.99,90.920157,
7,90.972732,
7.01,91.025173,
7.02,91.077479,
7.03,91.129652,
7.04,91.181691,
7.05,91.233598,
7.06,91.285373,
7.07,91.337016,
7.08,91.388528,
7.09,91.43991,
7.1,91.491161,
7.11,91.542282,
7.12,91.593275,
7.13,91.644138,
7.14,91.694873,
7.15,91.745481,
7.16,91.795961,
7.17,91.846314,
7.18,91.89654,
7.19,91.946641,
7.2,91.996616,
7.21,92.046466,
7.22,92.096191,
7.23,92.145792,
