Variables = p2_by_p1, entropy_change 
 zone t=flow i= 50 f=point
2.000000000000000111e-01	-3.972730201815358742e-01
4.000000000000000222e-01	-7.689787408310069794e-02
6.000000000000000888e-01	-1.351735003431967473e-02
8.000000000000000444e-01	-1.132447081618708287e-03
1.000000000000000000e+00	0.000000000000000000e+00
1.199999999999999956e+00	6.179431161943975577e-04
1.400000000000000133e+00	3.876679822612655139e-03
1.600000000000000089e+00	1.053893472426312324e-02
1.800000000000000044e+00	2.055137003904159571e-02
2.000000000000000000e+00	3.359059616391015662e-02
2.200000000000000178e+00	4.926606473114909790e-02
2.400000000000000355e+00	6.719653088864553647e-02
2.600000000000000533e+00	8.703689020796667730e-02
2.800000000000000266e+00	1.084849676043200678e-01
3.000000000000000444e+00	1.312803152645002081e-01
3.200000000000000178e+00	1.552001032816271164e-01
3.400000000000000355e+00	1.800542644238230794e-01
3.600000000000000533e+00	2.056807863395875569e-01
3.800000000000000266e+00	2.319414843276907667e-01
4.000000000000000000e+00	2.587183412401838356e-01
4.200000000000000178e+00	2.859103965544160797e-01
4.400000000000000355e+00	3.134311269470975714e-01
4.600000000000000533e+00	3.412062502603741554e-01
4.800000000000000711e+00	3.691718869504662659e-01
5.000000000000000888e+00	3.972730201815362627e-01
5.200000000000000178e+00	4.254622040958562224e-01
5.400000000000000355e+00	4.536984778878551117e-01
5.600000000000000533e+00	4.819464505230002249e-01
5.800000000000000711e+00	5.101755271083096011e-01
6.000000000000000888e+00	5.383592530733527504e-01
6.200000000000000178e+00	5.664747565709993271e-01
6.400000000000000355e+00	5.945022729889265500e-01
6.600000000000000533e+00	6.224247383050584004e-01
6.800000000000000711e+00	6.502274403371652856e-01
7.000000000000000888e+00	6.778977188261929854e-01
7.200000000000000178e+00	7.054247068353782790e-01
7.400000000000000355e+00	7.327991072087824964e-01
7.600000000000000533e+00	7.600129988671349146e-01
7.800000000000000711e+00	7.870596685689853489e-01
8.000000000000000000e+00	8.139334644658018370e-01
8.199999999999999289e+00	8.406296683588785346e-01
8.400000000000000355e+00	8.671443840460939523e-01
8.599999999999999645e+00	8.934744395458482646e-01
8.799999999999998934e+00	9.196173013185592326e-01
9.000000000000000000e+00	9.455709988846355829e-01
9.199999999999999289e+00	9.713340584715349779e-01
9.400000000000000355e+00	9.969054445191150027e-01
9.599999999999999645e+00	1.022284508038311612e+00
9.800000000000000711e+00	1.047470940958488139e+00
1.000000000000000000e+01	1.072464735717759021e+00
