# Tecplot data: Tacode
Variables = Time[s],X[km],Y[km],Z[km],Long[deg.],Lati[deg.],Alti[km],Upl[m/s],Vpl[m/s],Wpl[m/s],VelplAbs[m/s],Dens[kg/m3],Temp[K],Kn
zone t=time i= 1729.0 f=point
0.0 -3772.3654475379267 3000.6749677683733 4388.053261258401 141.5 42.5 150.0 7250 0 0 7250.0 1.7500236748309196e-09 661.4985669924763 82.68826648658955
1.0 -3776.8763907849475 2994.9992438462314 4388.0501001300345 141.58617691615075 42.499964457333085 149.99973117508182 7249.991064380204 -8.084181274997714 -0.5112377463201958 7249.995589580984 1.7500947019545576e-09 661.4942679253686 82.68496476411298
2.0 -3781.3827543462367 2989.319895325609 4388.040616751348 141.6723535858966 42.49985782956698 149.99892469340122 7249.9737735666295 -16.168312047690936 -1.02248588316652 7249.991874284812 1.7502130870992703e-09 661.4871027959113 82.67946208862544
3.0 -3785.8845323020487 2983.6369296662 4388.02481113763 141.75852981939173 42.49968011727048 149.99758054510272 7249.948127665294 -24.25235716069342 -1.5337438129988783 7249.988853993876 1.7503788394067207e-09 661.477071623497 82.6717587894418
4.0 -3790.3817187366985 2977.9503543310707 4388.002683311734 141.84470542679708 42.49943132130133 149.99569872105914 7249.914126909654 -32.33628145773356 -2.0450109385440722 7249.986528589721 1.7505919713400054e-09 661.4641744544051 82.66185534463109
5.0 -3794.8743077385675 2972.26017678665 4387.974233304067 141.93088021828356 42.49911144280621 149.99327921286599 7249.871771660588 -40.42004978440218 -2.5562866628060554 7249.984897953037 1.750852498734217e-09 661.448411357569 82.64975238009595
6.0 -3799.3622934001037 2966.56640450273 4387.939461152601 142.01705400403588 42.49872048322082 149.9903220128403 7249.821062406374 -48.50362698891442 -3.067570389060613 7249.983961963658 1.751160440860364e-09 661.429782419194 82.6354506684336
7.0 -3803.8456698178293 2960.8690449524606 4387.8983669028685 142.10322659425597 42.49825844426977 149.98682711402233 7249.761999762653 -56.58697792287583 -3.5788615208452015 7249.983720500537 1.7515158205040613e-09 661.4082877361445 82.61895112751358
8.0 -3808.324431092341 2955.1681056123443 4387.850950607962 142.18939779916647 42.49772532796652 149.98279451017547 7249.694584472407 -64.67006744202138 -4.090159461978235 7249.984173441755 1.7519186640579081e-09 661.3839274081588 82.60025481882086
9.0 -3812.7985713283138 2949.463593962234 4387.797212328539 142.27556742901433 42.49712113661345 149.97822419578605 7249.618817405912 -72.75286040698259 -4.601463616547171 7249.9853206644975 1.7523690016292111e-09 661.3567015288002 82.57936294548996
10.0 -3817.268084634506 2943.7555174853296 4387.737152132816 142.36173529407452 42.49644587280174 149.97311616605916 7249.534699560695 -80.83532168404662 -5.112773388905069 7249.987162045052 1.7528668671605457e-09 661.3266101752878 82.5562768501436
11.0 -3821.732965123762 2938.043883668173 4387.670770096572 142.44790120465314 42.495699539411326 149.96747041692444 7249.442232061491 -88.91741614590052 -5.6240881836831775 7249.989697458795 1.753412298565653e-09 661.2936533970615 82.5309980124222
12.0 -3826.1932069130144 2932.328700000643 4387.5980663031505 142.53406497109148 42.49488213961084 149.9612869450343 7249.341416160183 -96.99910867240041 -6.135407405775474 7249.992926780177 1.7540053378794544e-09 661.2578312031524 82.50352804625967
13.0 -3830.6488041232888 2926.6099739759557 4387.519040843456 142.6202264037692 42.493993676857535 149.9545657477565 7249.232253235752 -105.08036415131458 -6.6467304603514705 7249.996849882728 1.7546460314211319e-09 661.2191435484224 82.4738686969543
14.0 -3835.099750879707 2920.887713090656 4387.43369381596 142.706385313108 42.49303415489733 149.94730682318774 7249.114744794206 -113.16114747908351 -7.158056752850072 7250.001466639026 1.755334429973178e-09 661.177590318498 82.4420218379004
15.0 -3839.5460413114906 2915.1619248446177 4387.342025326694 142.7925415095751 42.49200357776457 149.93951017013774 7248.988892468517 -121.24142356157279 -7.669385688980306 7250.006776920696 1.7560705889736943e-09 661.1331713135637 82.40798946710667
16.0 -3843.987669551964 2909.432616741036 4387.244035489256 142.8786948036868 42.49090194978203 149.9311757881418 7248.854698018546 -129.32115731482565 -8.180716674722063 7250.012780598397 1.7568545687225046e-09 661.0858862309774 82.37177370347483
17.0 -3848.424629738558 2903.6997962864266 4387.1397244248055 142.96484500601213 42.48972927556081 149.92230367745296 7248.712163330969 -137.40031366581712 -8.692049116324391 7250.019477541811 1.7576864346028051e-09 661.0357346466085 82.33337678275882
18.0 -3852.856916012815 2897.9634709906227 4387.029092262071 143.05099192717606 42.488485560000235 149.91289383904495 7248.561290419186 -145.47885755320135 -9.203382420310518 7250.026867619624 1.7585662573158233e-09 660.9827159950473 82.29280105332178
19.0 -3857.284522520387 2892.2236483667657 4386.912139137344 143.13713537786333 42.487170808287814 149.90294627461023 7248.402081423237 -153.55675392806694 -9.714715993473291 7250.034950699512 1.759494113130524e-09 660.9268295485662 82.25004897159612
20.0 -3861.7074434110455 2886.4803359313096 4386.788865194479 143.22327516882189 42.48578502589902 149.89246098656045 7248.234538609708 -161.63396775468607 -10.226049242876442 7250.043726648131 1.760470084146919e-09 660.8680743949161 82.20512309731325
21.0 -3866.125672838682 2880.7335412040097 4386.6592705849 143.3094111108664 42.484328218597255 149.8814379780267 7248.058664371633 -169.71046401126898 -10.73738157584971 7250.053195331103 1.7614942585740116e-09 660.8064494139004 82.15802608845577
22.0 -3870.539204961311 2874.983271707925 4386.523355467595 143.39554301488164 42.48280039243375 149.86987725285837 7247.874461228392 -177.78620769070193 -11.248712400000443 7250.063356612993 1.7625667310218608e-09 660.7419532527525 82.10876069595535
